folder,x_value,max_retau,max_retau_time,avg_retau
0_0.1_alpha_2D,0.1,223.19732,197.62057591085482,205.36996705069126
1_0.5_alpha_2D,0.5,233.67043,150.13694747805738,203.5157599480969
2_1_alpha_2D,1.0,239.19129,156.47038680680214,204.168275133438
3_1.12_alpha_2D,1.12,225.63726,188.71626663559897,204.9537186648983
4_1.5_alpha_2D,1.5,224.23245,149.0837134591455,205.9439177170868
