folder,x_value,max_retau,max_retau_time,avg_retau
0_0.05_omega,0.05,225.31364,185.18001374044223,208.3854489578714
1_0.2_omega,0.2,225.82925,178.98010343588444,204.47971943786985
2_0.5_omega,0.5,230.65594,175.87060710702536,201.79374111795775
3_1_omega,1.0,230.19498,173.74838380944533,204.09829277356445
4_2_omega,2.0,230.36642,168.30728506456398,205.0519535106383
5_10_omega,10.0,243.93633,140.852374463934,216.14275293853072
