folder,x_value,max_retau,max_retau_time,avg_retau
0_0.1_A2D,0.1,232.8314,223.5026589331747,205.9932011553474
1_1_A2D,1.0,222.21568,221.29870276667776,204.82420192307688
2_3_A2D,3.0,225.63726,188.71626663559897,204.9537186648983
3_6_A2D,6.0,233.02487,109.19647663825977,206.2520012197393
